idx,uniqueid,id,maxclass,numinlets,numoutlets,patchx,patchy,parent,abstype,text,displayname
210,obj-9_obj-41_obj-75_obj-9_root,obj-9,comment,1,0,99.0,290.370972,obj-41_obj-75_obj-9_root,standard,filtered audio out,filtered audio out
211,obj-7_obj-41_obj-75_obj-9_root,obj-7,comment,1,0,23.0,16.5,obj-41_obj-75_obj-9_root,standard,audio in,audio in
212,obj-5_obj-41_obj-75_obj-9_root,obj-5,comment,1,0,179.0,16.5,obj-41_obj-75_obj-9_root,standard,hipass cutoff,hipass cutoff
213,obj-2_obj-41_obj-75_obj-9_root,obj-2,comment,1,0,381.0,213.5,obj-41_obj-75_obj-9_root,standard,4th order butterworth highpass,4th order butterworth highpass
214,obj-34_obj-41_obj-75_obj-9_root,obj-34,newobj,1,2,146.0,80.588387,obj-41_obj-75_obj-9_root,standard,t b f,t b f
215,obj-32_obj-41_obj-75_obj-9_root,obj-32,newobj,1,1,206.0,133.409042,obj-41_obj-75_obj-9_root,standard,prepend frequency,prepend frequency
216,obj-17_obj-41_obj-75_obj-9_root,obj-17,newobj,1,1,146.0,186.229675,obj-41_obj-75_obj-9_root,standard,filterdesign @order 4 @response highpass @topology butterworth,filterdesign @order 4 @response highpass @topology butterworth
217,obj-15_obj-41_obj-75_obj-9_root,obj-15,newobj,2,1,65.0,239.050323,obj-41_obj-75_obj-9_root,standard,cascade~,cascade~
218,obj-35_obj-41_obj-75_obj-9_root,obj-35,inlet,0,1,65.0,20.0,obj-41_obj-75_obj-9_root,standard,,inlet
219,obj-38_obj-41_obj-75_obj-9_root,obj-38,inlet,0,1,146.0,20.0,obj-41_obj-75_obj-9_root,standard,,inlet
220,obj-40_obj-41_obj-75_obj-9_root,obj-40,outlet,1,0,65.0,291.870972,obj-41_obj-75_obj-9_root,standard,,outlet
221,obj-41_obj-75_obj-9_root,obj-41,newobj,2,1,109.5,112.5,obj-75_obj-9_root,subpatcher,p hipass,p hipass
222,obj-20_obj-75_obj-9_root,obj-20,newobj,1,1,205.0,561.407898,obj-75_obj-9_root,standard,prepend duration,prepend duration
223,obj-19_obj-75_obj-9_root,obj-19,newobj,1,2,147.0,511.529236,obj-75_obj-9_root,standard,mstosamps~,mstosamps~
224,obj-6_obj-4_obj-75_obj-9_root,obj-6,codebox,1,1,176.0,119.0,obj-4_obj-75_obj-9_root,standard,,codebox
225,obj-1_obj-4_obj-75_obj-9_root,obj-1,newobj,0,1,176.0,12.0,obj-4_obj-75_obj-9_root,standard,in 1,in 1
226,obj-4_obj-4_obj-75_obj-9_root,obj-4,newobj,1,0,176.0,418.0,obj-4_obj-75_obj-9_root,standard,out 1,out 1
227,obj-4_obj-75_obj-9_root,obj-4,newobj,1,1,109.5,611.28656,obj-75_obj-9_root,gen,gen~ @duration 1103,gen~ @duration 1103
